Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-11-25,The Bourne Ultimatum,2007,https://boxd.it/1txUg5,,,,2020-11-24
2020-11-25,The Bourne Identity,2002,https://boxd.it/1txUtD,4,,,2020-11-24
2020-11-25,The Third Man,1949,https://boxd.it/1txWel,4,,,2020-11-24
2020-11-25,The Secret Life of Walter Mitty,2013,https://boxd.it/1txXEJ,,,,2020-11-24
2020-11-25,Dunkirk,2017,https://boxd.it/1ty2QF,,,,2020-11-24
2020-11-25,"Oh, Hello on Broadway",2017,https://boxd.it/1ty39d,4.5,,,2020-11-24
2020-11-25,Ant-Man,2015,https://boxd.it/1ty3vD,4,,,2020-11-24
2020-11-25,Guardians of the Galaxy,2014,https://boxd.it/1ty537,4.5,,,2020-11-24
2020-11-25,The Lord of the Rings: The Two Towers,2002,https://boxd.it/1ty6Kh,5,,,2020-11-24
2021-06-26,Zoolander,2001,https://boxd.it/1WXgrb,3.5,,,2021-06-25
2021-07-19,Space Jam: A New Legacy,2021,https://boxd.it/20ojn3,1,,,2021-07-18
2021-07-20,A Town Called Panic,2009,https://boxd.it/20yX0N,3.5,,,2021-07-20
2021-07-20,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/20zkvT,3.5,,,2021-07-20
2021-07-20,The Emoji Movie,2017,https://boxd.it/20zqNz,1,,,2021-07-20
2021-07-21,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/20Hutf,,,,2021-07-21
2021-07-21,Invictus,2009,https://boxd.it/20HxCp,2.5,,,2021-07-21
2021-10-17,Parasite,2019,https://boxd.it/2dfrEZ,5,,,2021-10-16
2021-12-23,Spider-Man: No Way Home,2021,https://boxd.it/2nRbRT,4,,,2021-12-22
2022-01-22,Your Name.,2016,https://boxd.it/2vx687,5,,fam,2022-01-22
2022-02-20,The Grand Budapest Hotel,2014,https://boxd.it/2B4v8x,5,,,2022-02-20
2022-03-01,The Great Gatsby,2013,https://boxd.it/2CxtdH,1,,,2022-02-28
2022-03-24,Jujutsu Kaisen 0,2021,https://boxd.it/2GYFUj,4,,theater,2022-03-23
2022-07-03,Minions: The Rise of Gru,2022,https://boxd.it/2Z30xb,4,,,2022-07-02
2022-07-05,Two Distant Strangers,2020,https://boxd.it/2ZsZ11,3.5,,,2022-07-04
2022-07-16,Bad Education,2019,https://boxd.it/31FVfR,4,,,2022-07-16
