Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-06,peter cultural enrichment ,,https://boxd.it/w35YA,

Position,Name,Year,URL,Description
1,Austin Powers: International Man of Mystery,1997,https://boxd.it/29y0,
2,The Silence of the Lambs,1991,https://boxd.it/2aHW,
3,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
4,The Nice Guys,2016,https://boxd.it/94Hg,
5,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
6,Fight Club,1999,https://boxd.it/2a9q,
7,Ocean's Eleven,2001,https://boxd.it/2aZm,
8,RRR,2022,https://boxd.it/ljDs,
9,In the Mood for Love,2000,https://boxd.it/29tE,
10,Alien,1979,https://boxd.it/2awY,
11,Full Metal Jacket,1987,https://boxd.it/2a1Q,
12,The Matrix,1999,https://boxd.it/2a1m,
13,Mission: Impossible,1996,https://boxd.it/29d2,
14,8 Mile,2002,https://boxd.it/2bew,
15,American Psycho,2000,https://boxd.it/28Vs,
