Date,Name,Year,Letterboxd URI,Rating
2020-04-06,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2020-04-06,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2020-04-06,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2020-04-06,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
2020-04-06,The Godfather,1972,https://boxd.it/2aNK,4.5
2020-04-06,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2020-04-06,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2020-04-06,Fargo,1996,https://boxd.it/2aHM,4.5
2020-04-06,Ghostbusters,1984,https://boxd.it/g2w,3.5
2020-04-06,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,5
2020-04-06,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2020-04-09,The Avengers,2012,https://boxd.it/1xFW,4
2020-04-09,The Dark Knight Rises,2012,https://boxd.it/H3m,4.5
2020-04-09,The Dark Knight,2008,https://boxd.it/2b0k,5
2020-04-09,Star Wars,1977,https://boxd.it/72s,4.5
2020-04-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2020-04-09,Raising Arizona,1987,https://boxd.it/2avQ,5
2020-04-09,The Shining,1980,https://boxd.it/29Nu,5
2020-09-06,Step Brothers,2008,https://boxd.it/1SsE,4
2020-10-25,Starsky & Hutch,2004,https://boxd.it/1YOQ,4.5
2020-11-25,Kung Fu Panda,2008,https://boxd.it/1Yws,5
2020-11-25,The Bourne Identity,2002,https://boxd.it/26EO,4
2020-11-25,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2020-11-25,Return of the Jedi,1983,https://boxd.it/27Vm,4.5
2020-11-25,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,4
2020-11-25,Gone Girl,2014,https://boxd.it/6hQu,3
2020-11-25,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3.5
2020-11-25,"Oh, Hello on Broadway",2017,https://boxd.it/gtmG,4.5
2020-11-25,Ant-Man,2015,https://boxd.it/3vmW,4
2020-11-25,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,2.5
2020-11-25,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4.5
2020-11-25,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2021-06-09,Rango,2011,https://boxd.it/QPk,4
2021-06-12,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3.5
2021-06-12,Deadpool,2016,https://boxd.it/9fOC,3.5
2021-06-12,What We Do in the Shadows,2014,https://boxd.it/7eQy,3.5
2021-06-12,The Third Man,1949,https://boxd.it/294E,4.5
2021-07-19,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,1
2021-07-20,The Social Network,2010,https://boxd.it/17ue,4
2021-07-20,A Town Called Panic,2009,https://boxd.it/11ki,3.5
2021-07-20,Death Note,2006,https://boxd.it/psEs,5
2021-07-20,JUJUTSU KAISEN,2020,https://boxd.it/sOve,4
2021-07-20,Samurai Champloo,2004,https://boxd.it/o8go,3.5
2021-07-20,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/nyLU,3.5
2021-07-20,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,4
2021-07-20,The Emoji Movie,2017,https://boxd.it/d9x4,1
2021-07-21,Loki,2021,https://boxd.it/sbHg,4
2021-07-21,Donald Glover: Weirdo,2012,https://boxd.it/2XHG,4
2021-07-21,Invictus,2009,https://boxd.it/1zPk,2.5
2021-07-21,Kung Fu Panda 2,2011,https://boxd.it/G36,4
2021-07-21,The Simpsons Movie,2007,https://boxd.it/6YU,3
2021-07-21,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2021-10-17,Parasite,2019,https://boxd.it/hTha,5
2021-12-23,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2022-01-08,Spirited Away,2001,https://boxd.it/2b4m,5
2022-02-20,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-03-01,The Great Gatsby,2013,https://boxd.it/JY,1
2022-03-08,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,4
2022-03-24,Jujutsu Kaisen 0,2021,https://boxd.it/uvFS,4
2022-07-03,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,4
2022-07-05,Two Distant Strangers,2020,https://boxd.it/tBu0,3.5
2022-07-16,Bad Education,2019,https://boxd.it/jiME,4
2022-09-11,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2022-09-11,American Psycho,2000,https://boxd.it/28Vs,5
2022-09-12,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,4.5
2022-09-15,Bo Burnham: Inside,2021,https://boxd.it/v2uy,2.5
2022-09-15,Spotlight,2015,https://boxd.it/a84k,4.5
2022-09-15,Scream,1996,https://boxd.it/24EC,2
2022-09-15,Sonic the Hedgehog,2020,https://boxd.it/gdK8,1.5
2022-09-16,Jurassic Park,1993,https://boxd.it/2aA2,4.5
2022-09-17,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-09-19,Alice in Wonderland,2010,https://boxd.it/1Spq,1
2022-09-25,Knives Out,2019,https://boxd.it/jWEA,4.5
2022-09-25,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,4.5
2022-10-16,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4.5
2022-10-31,A Silent Voice: The Movie,2016,https://boxd.it/d99c,5
2022-11-14,Turning Red,2022,https://boxd.it/ipkq,3
2022-11-24,Nope,2022,https://boxd.it/sDCe,4
2022-11-26,Uncharted,2022,https://boxd.it/b5Dy,3
2022-11-27,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2022-12-18,Avatar,2009,https://boxd.it/1Efm,3.5
2022-12-18,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3.5
2023-01-06,Pride & Prejudice,2005,https://boxd.it/24u8,3.5
2023-01-19,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4.5
2023-02-08,The Biggest Little Farm,2018,https://boxd.it/jO4a,1.5
2023-02-12,GoodFellas,1990,https://boxd.it/29FA,5
2023-02-19,Whiplash,2014,https://boxd.it/7bQA,5
2023-02-19,Minority Report,2002,https://boxd.it/2aWi,3.5
2023-02-19,The Devil All the Time,2020,https://boxd.it/i2tY,3.5
2023-02-19,The Imitation Game,2014,https://boxd.it/6aig,4
2023-02-27,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,4.5
2023-03-02,Cocaine Bear,2023,https://boxd.it/ugw2,1.5
2023-03-02,Running,2022,https://boxd.it/yzP6,4.5
2023-03-12,Bullet Train,2022,https://boxd.it/qW26,3.5
2023-03-13,"Hail, Caesar!",2016,https://boxd.it/881G,4
2023-03-26,My Neighbor Totoro,1988,https://boxd.it/20eA,5
