Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-11-25,The Bourne Ultimatum,2007,https://boxd.it/1txUg5,,,Review: this is a jason bourne movie with old white dudes,,2020-11-24
2020-11-25,The Bourne Identity,2002,https://boxd.it/1txUtD,4,,Review: this is a jason bourne movie with old white dudes,,2020-11-24
2020-11-25,The Third Man,1949,https://boxd.it/1txWel,4,,some stuff happened then someone told me that this movie is good so i believed them,,2020-11-24
2020-11-25,The Secret Life of Walter Mitty,2013,https://boxd.it/1txXEJ,,,fun secret life of walter mitty fact: everyone who has said they forgot the name of the movie and can only name one scene from it and said “it’s the movie with that guy” was talking about this movie,,2020-11-24
2020-11-25,Dunkirk,2017,https://boxd.it/1ty2QF,,,"i watched it with my grandparents who were confused, which made me think i got it wrong and made me confused, then i realized they had just fallen asleep so i was right after all.",,2020-11-24
2020-11-25,"Oh, Hello on Broadway",2017,https://boxd.it/1ty39d,4.5,,"funny men say words wrong and are very funny until a 20 minute slump where they are a lot less funny, but then they end up being funny",,2020-11-24
2020-11-25,Ant-Man,2015,https://boxd.it/1ty3vD,4,,paul rudd is not that old,,2020-11-24
2020-11-25,Guardians of the Galaxy,2014,https://boxd.it/1ty537,4.5,,"“hey what should we have as the final battle in this exciting space movie with a villain who basically can’t die”

“uhh idk they’re all not strong”

“ever played dance dance revolution?”",,2020-11-24
2020-11-25,The Lord of the Rings: The Two Towers,2002,https://boxd.it/1ty6Kh,5,,TREE,,2020-11-24
2021-06-26,Zoolander,2001,https://boxd.it/1WXgrb,3.5,,gasoline fight,,2021-06-25
2021-07-19,Space Jam: A New Legacy,2021,https://boxd.it/20ojn3,1,,"All this movie did was solidify MJs goat status, honestly ridiculous LeBattlePass thought he could act, you aren’t the goat, stay in your lane(Lefrauds lane is mediocre-at-best basketball) and stick to fortnite acting! Embarrassing for all involved!",,2021-07-18
2021-07-20,A Town Called Panic,2009,https://boxd.it/20yX0N,3.5,,"top 1 french films of all time(i don’t like most french films) 

hope ellie doesn’t see this because if she does she might recommend more movies(see also WWDITS) which is scary because they might actually be good",,2021-07-20
